Area_m²,Location,Floor,Price_€,Newly_built
60.0,Centar,1,310000,0
80.0,Centar,3,230000,1
28.07,Centar,5,99000,0
62.0,Centar,0,145000,1
58.11,Sv. Polikarp / Sisplac,0,220818,1
52.89,Valdebek,2,143000,1
96.34,Vidikovac,3,259000,0
66.0,Centar,5,188000,0
75.0,Stoja,1,400000,1
141.93,Centar,2,250000,0
59.39,Vidikovac,1,172000,0
166.0,Centar,2,250000,0
115.0,Valmade,1,265000,0
53.0,Veli vrh,0,138000,1
48.57,Stoja,3,135000,0
52.0,Nova Veruda,5,234000,1
55.0,Stoja,1,192000,1
84.0,Šijana,0,135000,0
28.0,Centar,5,97500,0
28.07,Centar,5,98000,0
28.07,Centar,5,98000,0
58.0,Centar,1,212550,1
54.0,Veruda,3,159900,0
59.24,Valdebek,0,154000,1
58.96,Centar,2,206300,1
58.0,Gregovica,1,174000,1
98.62,Veli vrh,2,296900,1
97.23,Centar,2,280500,0
37.86,Kaštanjer,6,95000,0
122.72,Centar,3,295000,0
34.0,Centar,0,147000,0
31.11,Veruda,0,153000,0
32.0,Monvidal,5,105000,0
111.56,Gregovica,1,281000,0
117.0,Centar,3,364000,0
31.11,Veruda,0,149000,0
63.0,Centar,2,177548,1
32.0,Veruda,0,150000,0
118.0,Centar,2,260000,1
54.0,Stoja,4,155000,0
51.12,Kaštanjer,0,146000,0
102.0,Veli vrh,0,265000,1
90.0,Valdebek,0,399000,1
113.6,Centar,2,315900,1
53.04,Veli vrh,2,141351,1
122.0,Centar,2,259900,1
41.0,Veli vrh,1,127000,0
115.0,Centar,3,250000,0
75.0,Busoler,0,240000,0
107.76,Štinjan,2,330000,1
34.0,Centar,1,120000,0
63.0,Veruda,0,99500,0
74.0,Centar,2,215000,0
147.0,Kaštanjer,0,350000,0
55.0,Veruda,1,209000,0
42.0,Valdebek,0,160000,0
48.0,Štinjan,2,137500,0
118.98,Šijana,1,355000,0
67.39,Veli vrh,3,180000,0
57.96,Centar,3,173880,1
70.0,Monvidal,0,175000,1
57.09,Centar,4,155000,0
125.0,Centar,3,130000,0
55.0,Veli vrh,1,144000,0
66.05,Šijana,1,186500,1
50.16,Monvidal,0,159000,1
70.73,Veli vrh,1,166000,0
138.0,Vidikovac,0,180000,0
49.0,Stoja,1,158000,1
61.0,Veli vrh,2,159000,1
105.0,Centar,3,367500,1
81.49,Šijana,0,190000,0
53.0,Centar,2,148512,1
53.0,Veli vrh,0,138000,0
43.18,Centar,0,140500,0
115.0,Centar,1,220000,0
75.0,Centar,0,175000,0
54.88,Valdebek,1,142700,1
28.0,Centar,5,97000,0
65.0,Šijana,8,120000,0
43.0,Kaštanjer,2,105000,0
67.0,Gregovica,0,209000,1
56.27,Centar,2,168810,1
40.0,Centar,3,124000,0
46.8,Centar,2,122000,0
70.13,Centar,1,249500,1
85.0,Centar,4,156000,0
59.64,Stoja,2,190848,1
137.0,Veruda,1,165000,0
48.0,Centar,1,125500,0
53.04,Veli vrh,2,141351,1
47.0,Centar,1,125500,1
106.28,Centar,1,265000,0
95.0,Štinjan,1,257500,0
54.89,Veli vrh,1,146281,1
96.99,Centar,4,241364,1
136.0,Centar,1,290000,0
84.0,Centar,4,156000,0
55.0,Gregovica,0,171187,1
70.13,Centar,2,224000,0
55.0,Nova Veruda,5,247000,0
55.0,Gregovica,0,171187,1
116.0,Valdebek,2,290000,1
53.78,Sv. Polikarp / Sisplac,1,204400,0
87.71,Veruda,8,190000,0
45.0,Centar,3,130000,0
106.0,Centar,2,296400,1
90.0,Centar,0,230000,0
108.55,Vidikovac,1,354000,1
50.0,Centar,0,299500,0
30.0,Centar,0,96000,1
91.0,Veruda,4,311500,0
70.0,Veruda,1,185000,1
61.88,Veruda,0,135000,0
59.0,Vidikovac,2,150000,0
43.18,Centar,0,145000,0
85.27,Centar,2,143000,0
83.06,Kaštanjer,2,260000,0
55.0,Gregovica,1,180500,0
46.0,Centar,2,123000,1
70.0,Monvidal,2,175000,0
120.0,Centar,2,239000,0
130.0,Centar,3,469800,1
54.87,Šijana,2,138000,1
43.0,Kaštanjer,0,110000,0
95.24,Veli vrh,2,214300,0
76.0,Centar,1,175000,0
43.0,Centar,0,140000,0
50.0,Monvidal,1,130000,0
61.0,Veli vrh,1,159000,1
64.0,Štinjan,0,145000,0
110.49,Stoja,3,343000,0
66.0,Štinjan,1,193000,0
95.3,Monte Zaro,0,230000,0
84.5,Nova Veruda,1,194000,0
48.5,Šijana,0,140000,1
54.91,Veli vrh,2,146335,1
31.0,Veruda,0,149000,1
57.0,Centar,4,160000,0
100.0,Centar,2,212000,0
111.36,Šijana,2,310000,1
43.18,Centar,0,135000,0
106.0,Centar,1,296310,0
66.0,Centar,0,199000,1
54.35,Šijana,1,135875,1
103.0,Centar,2,222000,0
84.0,Valdebek,2,230000,0
60.0,Veli vrh,0,186900,1
45.62,Šijana,2,122000,1
122.7,Centar,3,285000,0
64.0,Centar,1,86000,0
166.02,Centar,5,468700,1
57.1,Centar,4,155000,0
115.0,Centar,3,250000,0
50.73,Centar,2,177600,1
64.0,Veruda,0,180000,1
52.0,Centar,1,172908,0
52.14,Centar,0,135000,0
71.54,Centar,1,250400,1
109.0,Šijana,1,172000,0
40.0,Centar,0,124500,0
76.0,Monte Magno,1,280000,0
102.0,Veli vrh,0,265000,0
70.92,Valdebek,1,184000,1
57.4,Šijana,1,185000,1
63.28,Štinjan,1,194000,0
56.0,Monvidal,1,168000,1
69.13,Vidikovac,5,175000,0
99.39,Šijana,2,220000,0
115.0,Štinjan,2,355000,1
86.0,Centar,1,264856,1
32.0,Veruda,0,149000,0
87.71,Veruda,8,197200,0
66.0,Centar,2,185024,1
112.0,Štinjan,2,250000,0
55.0,Veruda,1,192500,1
107.26,Veli vrh,2,290500,1
114.28,Centar,3,239000,0
51.54,Valdebek,1,179000,1
43.0,Centar,0,135000,0
69.62,Monte Magno,0,298000,0
51.0,Centar,0,125000,0
125.0,Centar,2,215000,0
61.88,Centar,1,166000,0
94.0,Centar,1,284000,0
132.0,Monte Zaro,2,217000,0
89.88,Vidikovac,0,267000,1
53.0,Veruda,0,208000,0
55.0,Valmade,2,137500,0
102.0,Veli vrh,1,265000,0
54.0,Šijana,5,130000,0
56.5,Šijana,1,165000,1
69.13,Centar,5,168000,0
60.0,Veli vrh,2,157000,1
54.0,Monvidal,3,145000,0
84.54,Centar,1,211350,1
102.0,Veli vrh,1,265000,1
56.5,Šijana,1,141000,1
117.0,Centar,1,159500,0
75.02,Centar,2,239000,0
66.0,Štinjan,1,189000,1
88.0,Monteghiro,2,270000,0
53.16,Šijana,5,125000,0
51.27,Monvidal,1,128000,1
51.27,Centar,1,128000,1
64.0,Centar,1,86000,0
101.0,Centar,2,253000,1
77.0,Centar,4,307000,0
54.47,Sv. Polikarp / Sisplac,2,207000,1
59.0,Veruda,3,155000,0
71.0,Šijana,3,187500,0
60.69,Stoja,2,190000,0
61.0,Centar,2,197550,0
93.15,Šijana,2,216300,1
111.99,Valdebek,2,350000,0
62.18,Šijana,0,150000,0
54.0,Centar,1,134600,0
53.16,Šijana,4,105000,0
53.37,Vidikovac,7,149500,0
57.98,Centar,2,173940,1
89.28,Centar,1,222500,0
42.0,Centar,1,135000,1
196.0,Centar,3,358000,0
50.0,Centar,2,72750,0
44.0,Monvidal,2,103000,0
66.14,Centar,0,159000,0
98.0,Centar,2,240000,0
58.0,Gregovica,1,179900,1
61.0,Nova Veruda,0,220000,1
42.0,Monvidal,1,99000,1
70.0,Stoja,1,250000,0
103.0,Centar,2,222000,0
40.0,Centar,0,125000,0
49.0,Monvidal,2,136000,1
70.5,Centar,2,223000,0
117.22,Stoja,3,365000,0
59.43,Centar,3,208005,0
69.58,Veli vrh,1,173900,1
134.0,Šijana,0,165000,0
199.0,Centar,3,359000,0
42.49,Vidikovac,0,143000,0
59.7,Centar,3,208950,0
129.37,Centar,3,400000,0
67.0,Centar,1,190000,0
66.0,Centar,3,181000,0
65.0,Centar,1,159000,0
122.0,Centar,1,250000,1
54.18,Veruda,0,196800,1
130.0,Centar,2,247000,0
59.0,Centar,0,130000,0
86.02,Centar,1,286000,1
107.4,Centar,2,220000,1
28.0,Monte Zaro,5,103750,1
66.0,Centar,3,175000,0
61.0,Šijana,1,140300,0
115.0,Štinjan,2,231750,0
168.0,Šijana,1,275000,0
47.53,Veruda,1,198000,0
