Area_m²,Location,Floor,Price_€,Newly_built
120.0,Centar,1,200000,0
125.0,Centar,3,345000,0
71.0,Centar,1,299000,0
75.0,Centar,1,363500,1
105.41,Centar,1,140000,0
115.0,Veruda,0,180000,0
62.24,Centar,1,174300,1
68.77,Centar,1,193000,1
68.77,Centar,1,173300,1
63.89,Centar,1,178900,1
89.28,Centar,1,223200,1
132.0,Centar,2,210000,0
53.0,Centar,2,132600,1
66.0,Centar,1,165200,1
53.0,Centar,1,132600,1
63.0,Centar,1,158950,1
54.0,Centar,2,137275,1
54.0,Centar,1,137275,1
100.0,Centar,3,245000,0
59.0,Centar,0,130834,1
65.0,Centar,4,139000,0
120.0,Centar,2,240000,0
100.0,Centar,2,250000,0
135.0,Centar,1,240000,0
61.0,Centar,1,182324,0
73.0,Centar,3,130000,0
53.0,Centar,4,77500,0
94.0,Centar,3,175000,0
98.0,Centar,2,189000,0
33.0,Centar,3,83000,0
45.0,Centar,2,170000,0
40.77,Veruda,0,149000,1
53.5,Veruda,0,194300,1
51.79,Centar,1,155500,0
109.0,Šijana,1,130000,0
67.0,Vidikovac,1,150000,0
54.18,Veruda,0,196800,1
38.0,Veruda,1,138000,1
29.23,Veruda,0,112000,0
89.0,Centar,1,280500,0
45.0,Valdebek,0,120000,0
130.0,Monte Zaro,2,210000,0
267.17,Centar,2,365000,0
96.0,Veruda,0,180000,0
86.0,Šijana,6,150000,0
83.74,Centar,1,350000,0
108.0,Veli vrh,3,175000,1
66.0,Centar,2,115000,0
90.0,Veruda,1,152000,0
120.0,Centar,1,195000,0
50.0,Veruda,3,104000,0
132.0,Monte Zaro,2,210000,0
80.0,Valdebek,2,180000,0
146.0,Štinjan,2,380000,1
74.0,Štinjan,1,171500,1
93.0,Šijana,2,210000,0
294.0,Vidikovac,0,599000,0
56.0,Stoja,4,137500,0
56.31,Stoja,4,140400,0
43.97,Centar,2,177000,0
70.0,Veli vrh,0,155000,1
57.69,Štinjan,1,141500,1
126.25,Centar,3,226000,0
66.99,Centar,1,203000,1
77.86,Centar,1,150000,0
126.25,Centar,3,226000,0
122.0,Centar,1,275000,0
64.39,Štinjan,1,156600,0
96.0,Centar,4,155000,0
70.58,Centar,2,180000,0
55.0,Busoler,1,129900,0
113.0,Centar,1,165000,0
