Location,Type,Area_m²,Price_€,Price
Štinjan,1,2913,302500,302500
Busoler,0,5793,579300,579300
Busoler,1,1360,220000,220000
Veli vrh,1,2741,260395,260395
Veli vrh,1,1820,206500,206500
Veruda,1,4920,1900000,1900000
Centar,1,4700,2200000,2200000
Veli vrh,1,686,145000,145000
Veli vrh,1,1160,155000,155000
Štinjan,1,2287,206000,206000
Štinjan,1,1500,390000,390000
Štinjan,1,2288,228800,228800
Veli vrh,0,545,40000,40000
Štinjan,1,8154,150,1223100
Štinjan,1,4279,200,855800
Štinjan,1,5538,200,1107600
Štinjan,1,720,129900,129900
Veli vrh,0,550,37500,37500
Valdebek,0,500,31500,31500
Valdebek,1,3095,216000,216000
Štinjan,1,3300,561000,561000
Veli vrh,1,2950,453500,453500
Šikići,0,890,33000,33000
Štinjan,1,4300,820000,820000
Veli vrh,1,5446,218000,218000
Veli vrh,1,9000,550000,550000
Šijana,0,10047,170800,170800
Busoler,1,5360,450000,450000
Štinjan,1,4055,180000,180000
Centar,0,1000,55000,55000
Veli vrh,1,2586,175000,175000
Štinjan,1,520,95000,95000
Štinjan,1,535,95000,95000
Štinjan,1,1055,190000,190000
Kaštanjer,1,180,80000,80000
Nova Veruda,0,5770,230000,230000
Šijana,0,34031,2824500,2824500
Štinjan,0,1000,40000,40000
Veli vrh,1,460,67000,67000
Centar,0,489,21000,21000
Centar,0,20850,165000,165000
Centar,0,1000,40000,40000
Šijana,1,12175,1516000,1516000
Štinjan,1,1260,150000,150000
Štinjan,1,630,80000,80000
Šikići,1,1950,156000,156000
Štinjan,1,3300,660000,660000
Šikići,1,500,42000,42000
Štinjan,1,7504,1876000,1876000
Monteserpo - Komunal,1,679,28000,28000
Šikići,1,860,37000,37000
Padulj,1,7400,594000,594000
Šijana,0,2298,49900,49900
Štinjan,1,5134,821440,821440
Šikići,0,7600,57500,57500
Centar,0,388,41000,41000
Štinjan,0,1000,27000,27000
Šikići,1,980,98000,98000
Kaštanjer,1,1800,320000,320000
Busoler,0,690,21000,21000
Štinjan,1,1395,139500,139500
Centar,1,3000,225000,225000
Veli vrh,1,679,100000,100000
Valmade,1,2221,210000,210000
Valdebek,1,3928,392800,392800
Veli vrh,1,460,67000,67000
Monteserpo - Komunal,1,1550,170400,170400
Centar,1,2000,185000,185000
Štinjan,1,7400,590000,590000
Valmade,1,1057,90000,90000
Gregovica,1,930,100000,100000
Šijana,1,35000,1400000,1400000
Monteserpo - Komunal,1,1250,110000,110000
Valdebek,1,4300,490000,490000
Štinjan,1,2700,243000,243000
Veli vrh,1,2100,150000,150000
Veli vrh,1,1000,75000,75000
Štinjan,1,1000,175000,175000
Štinjan,1,4000,740000,740000
Valdebek,1,1346,180000,180000
Šijana,1,23000,690000,690000
Gregovica,1,460,249000,249000
