Location,Type,Area_m²,Price_€,Price
Monteserpo - Komunal,1,670,50000,50000
Šikići,1,1950,125000,125000
Šikići,1,643,50000,50000
Veli vrh,1,520,75500,75500
Veli vrh,1,845,122000,122000
Valmade,1,680,68000,68000
Štinjan,1,10215,820000,820000
Valmade,1,2221,210000,210000
Valdebek,1,3928,392800,392800
Štinjan,1,5600,890000,890000
Veli vrh,1,460,67000,67000
Veli vrh,1,625,78000,78000
Veli vrh,1,680,92300,92300
Monteserpo - Komunal,1,1550,145000,145000
Šijana,1,818,163600,163600
Centar,1,2000,185000,185000
Štinjan,1,2340,120000,120000
Busoler,1,1000,84000,84000
Štinjan,1,1200,115000,115000
Štinjan,1,7400,590000,590000
Škatari,1,1100,110000,110000
Škatari,1,650,60000,60000
Valmade,1,1057,90000,90000
Gregovica,1,930,100000,100000
Šijana,0,550,10000,10000
Veli vrh,1,19000,642000,642000
Štinjan,1,620,62000,62000
Veli vrh,1,9000,550000,550000
Valdebek,1,593,85000,85000
Šijana,0,550,9950,9950
Veli vrh,1,401,8250,8250
Štinjan,1,2712,279000,279000
Šijana,1,35000,1400000,1400000
Monteserpo - Komunal,1,557,42000,42000
Veli vrh,1,1600,400000,400000
Monteserpo - Komunal,1,1250,110000,110000
Štinjan,1,2304,311000,311000
Štinjan,1,6989,489230,489230
Štinjan,1,2304,322560,322560
Valdebek,1,4300,490000,490000
Štinjan,1,386,46320,46320
Štinjan,1,2700,243000,243000
Busoler,1,841,67500,67500
Veli vrh,1,6533,753300,753300
Štinjan,1,7504,1650000,1650000
Monvidal,1,3000,283600,283600
Štinjan,1,1263,119985,119985
Štinjan,1,298,61500,61500
Štinjan,1,1057,110000,110000
Gregovica,1,12356,1235600,1235600
Šikići,0,1934,97650,97650
Šikići,0,19000,475000,475000
Monteserpo - Komunal,1,670,63000,63000
Valdebek,1,500,55000,55000
Veli vrh,1,2100,150000,150000
Veli vrh,1,1000,75000,75000
Štinjan,1,1000,150000,150000
Štinjan,1,4000,740000,740000
Valdebek,1,1346,148000,148000
Šijana,1,23000,690000,690000
Gregovica,1,460,249000,249000
Šijana,1,5500,755000,755000
Valmade,1,2490,201000,201000
Štinjan,1,3000,180000,180000
Valdebek,1,288,135000,135000
Veli vrh,0,546,22000,22000
Busoler,0,1200,37000,37000
Busoler,1,5360,450000,450000
Veli vrh,1,1002,90000,90000
Valdebek,1,593,62000,62000
Veli vrh,1,4000,90,360000
Šijana,0,10047,170800,170800
Veruda,1,935,350000,350000
Veli vrh,1,30000,700000,700000
Veli vrh,1,6397,890000,890000
Šijana,1,2150,172000,172000
Centar,1,10000,2000000,2000000
Valdebek,1,2052,205200,205200
Šijana,1,1862,242060,242060
Šijana,0,1480,148000,148000
Valdebek,0,1299,35000,35000
Veli vrh,1,4900,588000,588000
Veli vrh,1,6000,480000,480000
Štinjan,1,1784,124,221216
Štinjan,1,646,100000,100000
Štinjan,1,2712,336000,336000
Štinjan,1,1317,200000,200000
Valdebek,1,1400,154000,154000
Štinjan,1,1219,170660,170660
Štinjan,1,5538,1218360,1218360
